trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.05, 'e': 0.2099999999999993}",30,19,18.521727517938153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.05, 'e': 0.2049999999999993}",25,12,4.96033955982001,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.05, 'e': 0.1999999999999993}",20,10,18.351145384017258,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.05, 'e': 0.19499999999999929}",20,9,-31.861393244120386,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.05, 'e': 0.18999999999999928}",25,10,27.330015592543,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.05, 'e': 0.18499999999999928}",20,0,8.798462019458496,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.05, 'e': 0.17999999999999927}",25,9,10.937953688800038,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.05, 'e': 0.17499999999999927}",20,2,15.930207147830325,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.05, 'e': 0.16999999999999926}",20,0,6.535014113252432,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.05, 'e': 0.16499999999999926}",25,0,20.358753854594887,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.05, 'e': 0.15999999999999925}",25,9,-20.673709310688167,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
169,False,"{'a': 0.05, 'e': 0.15499999999999925}",20,5,13.099770940661891,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.05, 'e': 0.14999999999999925}",20,0,-135.1385723632462,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 4}",1
171,False,"{'a': 0.05, 'e': 0.14499999999999924}",20,5,7.248170337979083,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.05, 'e': 0.13999999999999924}",25,15,17.159608949429895,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.05, 'e': 0.13499999999999923}",20,13,2.631364663656437,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.05, 'e': 0.12999999999999923}",30,6,34.541609027421195,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.05, 'e': 0.12499999999999922}",20,10,17.755143855533948,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.05, 'e': 0.11999999999999922}",20,6,26.71732629272212,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.05, 'e': 0.11499999999999921}",30,16,26.909258364163264,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.05, 'e': 0.10999999999999921}",20,14,11.90005980654902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.05, 'e': 0.1049999999999992}",20,11,15.189749058278815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.05, 'e': 0.0999999999999992}",30,17,21.584095921291944,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.05, 'e': 0.0949999999999992}",20,14,11.508679288107068,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.05, 'e': 0.08999999999999919}",30,13,7.777649354125646,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
